code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603256,宏和科技,玻璃,上海,101.06,0.88,8.78,17.84,9.16,2.43,2.94,0.34,0.032,1.66,7.86,20190719,2.33,0.27,-10.16,-7.66,38.86,19.09,25039.0
601162,天风证券,证券,湖北,125.67,38.38,66.66,767.8,0.0,1.09,80.94,1.21,0.012,2.63,2.31,20181019,20.89,0.31,-18.62,-37.36,0.0,9.59,198344.0
002425,凯撒文化,互联网,广东,13.76,8.13,8.14,50.6,10.02,0.09,21.44,2.63,0.1,5.13,1.08,20100608,10.74,1.32,-31.8,-30.22,76.58,46.1,39296.0
300415,伊之密,专用机械,广东,0.0,4.09,4.32,32.41,19.25,5.93,0.3,0.07,-0.031,2.93,2.64,20150123,7.4,1.71,-27.15,-125.65,31.33,-3.84,15675.0
300831,派瑞股份,元器件,陕西,0.0,0.8,3.2,5.96,4.45,0.91,0.03,0.01,-0.013999999999999999,2.3,2.74,20200507,2.01,0.63,0.0,0.0,37.26,-26.63,150793.0
300077,国民技术,半导体,深圳,0.0,5.45,5.58,20.2,8.11,3.49,20.72,3.71,-0.021,2.09,3.69,20100430,-16.55,-2.97,-7.78,23.19,52.26,-14.83,62120.0
002046,轴研科技,机械基件,河南,0.0,4.09,5.24,44.22,22.08,10.52,15.37,2.93,-0.065,5.09,1.45,20050526,5.17,0.99,-12.99,-221.72,19.0,-9.63,27218.0
000687,华讯方舟,通信设备,河北,0.0,7.53,7.66,19.33,14.77,2.06,8.97,1.17,-0.053,-0.23,-15.9,19970221,-17.86,-2.33,-97.91,-95.9,-29.54,-618.86,61035.0
300382,斯莱克,专用机械,江苏,124.84,5.65,5.65,18.76,14.05,3.05,0.91,0.16,0.013999999999999999,1.73,3.9,20140129,2.83,0.5,-1.52,-63.99,26.01,4.08,12108.0
002183,怡 亚 通,仓储物流,深圳,113.59,21.2,21.23,433.19,342.43,14.59,12.94,0.61,0.011000000000000001,2.83,1.76,20071113,17.12,0.81,-12.42,-44.97,5.66,0.17,99404.0
600532,宏达矿业,普钢,上海,115.46,5.16,5.16,27.26,20.12,0.03,10.48,2.03,0.011000000000000001,3.62,1.38,20021031,2.88,0.56,40.54,254.18,1.28,0.45,27842.0
002621,美吉姆,文教休闲,辽宁,0.0,5.48,5.91,41.69,6.86,0.69,2.61,0.44,-0.008,2.27,4.09,20110929,5.0,0.85,-53.52,-127.9,66.97,-8.2,9795.0
